iter	Passed	Remaining
0	50	50460
1	52	26052
2	53	17933
3	55	13848
4	57	11400
5	58	9771
6	60	8621
7	62	7759
8	64	7070
9	65	6518
10	67	6065
11	69	5688
12	70	5381
13	72	5108
14	74	4873
15	75	4669
16	77	4487
17	79	4324
18	80	4179
19	82	4051
20	84	3933
21	86	3824
22	87	3722
23	89	3649
24	91	3577
25	93	3499
26	94	3423
27	96	3354
28	98	3293
29	99	3231
30	101	3180
31	103	3125
32	104	3075
33	106	3029
34	108	2987
35	110	2946
36	111	2907
37	113	2869
38	114	2832
39	116	2796
40	118	2765
41	120	2742
42	121	2712
43	123	2682
44	125	2658
45	126	2633
46	128	2609
47	130	2586
48	132	2563
49	133	2540
50	135	2518
51	136	2496
52	138	2476
53	140	2458
54	141	2438
55	143	2421
56	145	2404
57	146	2387
58	148	2372
59	150	2355
60	151	2339
61	153	2324
62	155	2310
63	157	2296
64	158	2281
65	160	2268
66	161	2255
67	162	2232
68	164	2223
69	166	2214
70	168	2208
71	170	2199
72	172	2189
73	174	2180
74	175	2170
75	177	2160
76	179	2150
77	181	2141
78	182	2133
79	184	2124
80	186	2114
81	188	2105
82	189	2097
83	191	2091
84	193	2077
85	194	2070
86	195	2056
87	197	2050
88	199	2044
89	201	2037
90	203	2031
91	205	2025
92	206	2018
93	208	2013
94	210	2007
95	212	2000
96	214	1994
97	216	1989
98	217	1983
99	219	1979
100	221	1973
101	223	1965
102	225	1960
103	226	1955
104	229	1956
105	231	1951
106	233	1946
107	235	1940
108	236	1936
109	238	1930
110	240	1924
111	242	1919
112	243	1915
113	245	1909
114	247	1904
115	248	1897
116	250	1892
117	252	1887
118	253	1879
119	255	1874
120	257	1869
121	259	1867
122	260	1857
123	262	1854
124	264	1849
125	266	1845
126	267	1841
127	269	1833
128	270	1829
129	272	1825
130	274	1823
131	276	1818
132	278	1815
133	280	1810
134	281	1806
135	283	1802
136	285	1798
137	286	1792
138	292	1809
139	294	1808
140	297	1810
141	299	1807
142	300	1803
143	302	1798
144	305	1799
145	307	1797
146	309	1794
147	311	1791
148	313	1792
149	315	1789
150	317	1787
151	320	1790
152	323	1789
153	324	1784
154	327	1784
155	329	1783
156	331	1780
157	334	1781
158	337	1784
159	339	1780
160	340	1776
161	342	1771
162	344	1766
163	345	1762
164	347	1758
165	349	1755
166	351	1754
167	353	1751
168	355	1747
169	357	1743
170	358	1739
171	360	1735
172	362	1732
173	365	1732
174	367	1730
175	369	1728
176	371	1726
177	373	1724
178	375	1722
179	377	1719
180	378	1712
181	382	1716
182	383	1713
183	385	1710
184	387	1709
185	389	1706
186	391	1703
187	393	1701
188	397	1704
189	400	1706
190	405	1717
191	407	1716
192	414	1733
193	416	1732
194	419	1730
195	421	1728
196	423	1727
197	427	1729
198	429	1728
199	431	1724
200	432	1720
201	434	1715
202	436	1712
203	437	1708
204	439	1705
205	442	1704
206	444	1701
207	445	1697
208	447	1692
209	448	1688
210	450	1684
211	452	1680
212	453	1676
213	457	1679
214	459	1676
215	460	1672
216	462	1668
217	464	1666
218	466	1662
219	467	1659
220	471	1663
221	473	1659
222	475	1656
223	477	1653
224	479	1651
225	481	1648
226	483	1646
227	488	1652
228	490	1649
229	491	1647
230	493	1643
231	495	1640
232	497	1637
233	499	1635
234	502	1635
235	504	1632
236	505	1628
237	507	1625
238	509	1622
239	511	1619
240	513	1617
241	517	1620
242	519	1617
243	520	1614
244	522	1611
245	524	1607
246	526	1604
247	528	1601
248	531	1602
249	533	1599
250	535	1596
251	536	1593
252	538	1591
253	540	1588
254	543	1588
255	546	1587
256	547	1584
257	549	1580
258	551	1577
259	553	1574
260	555	1572
261	560	1578
262	563	1578
263	565	1575
264	567	1573
265	569	1570
266	571	1567
267	574	1568
268	577	1569
269	580	1570
270	582	1567
271	584	1563
272	586	1560
273	590	1563
274	592	1563
275	595	1560
276	597	1560
277	599	1557
278	601	1554
279	607	1562
280	609	1559
281	611	1557
282	613	1553
283	614	1550
284	616	1546
285	621	1550
286	622	1547
287	624	1544
288	626	1541
289	628	1537
290	629	1534
291	631	1530
292	635	1533
293	637	1530
294	639	1527
295	641	1524
296	642	1521
297	644	1518
298	646	1515
299	649	1516
300	651	1513
301	653	1510
302	655	1507
303	656	1503
304	658	1500
305	660	1497
306	662	1494
307	665	1495
308	667	1492
309	669	1489
310	670	1485
311	672	1482
312	674	1479
313	675	1476
314	677	1472
315	680	1472
316	682	1469
317	683	1466
318	685	1462
319	686	1459
320	688	1455
321	689	1452
322	691	1449
323	693	1445
324	694	1443
325	696	1440
326	698	1437
327	699	1433
328	701	1430
329	703	1427
330	704	1424
331	706	1421
332	708	1418
333	710	1415
334	711	1412
335	713	1409
336	714	1406
337	716	1403
338	718	1400
339	719	1397
340	721	1394
341	723	1392
342	725	1389
343	727	1386
344	728	1383
345	730	1380
346	731	1377
347	733	1374
348	735	1371
349	736	1368
350	738	1365
351	740	1362
352	741	1359
353	743	1356
354	744	1353
355	746	1350
356	748	1347
357	749	1344
358	751	1341
359	753	1338
360	754	1335
361	756	1332
362	757	1330
363	759	1327
364	761	1324
365	762	1321
366	764	1318
367	766	1315
368	767	1312
369	769	1310
370	771	1307
371	772	1304
372	774	1301
373	775	1298
374	777	1296
375	779	1293
376	780	1290
377	782	1287
378	784	1284
379	785	1281
380	787	1279
381	789	1277
382	791	1275
383	793	1272
384	794	1269
385	796	1267
386	798	1264
387	799	1261
388	801	1258
389	803	1256
390	804	1253
391	806	1250
392	808	1248
393	810	1246
394	811	1243
395	813	1240
396	815	1238
397	817	1236
398	819	1234
399	824	1236
400	826	1234
401	828	1231
402	829	1229
403	831	1226
404	833	1224
405	835	1221
406	836	1219
407	838	1217
408	840	1214
409	842	1211
410	843	1209
411	845	1206
412	846	1203
413	848	1201
414	850	1198
415	852	1196
416	853	1193
417	855	1191
418	857	1188
419	859	1186
420	860	1184
421	862	1181
422	864	1179
423	866	1176
424	867	1174
425	869	1171
426	871	1169
427	873	1167
428	874	1164
429	876	1161
430	878	1159
431	879	1156
432	881	1154
433	883	1151
434	884	1148
435	886	1146
436	887	1143
437	889	1141
438	891	1138
439	892	1136
440	894	1133
441	896	1131
442	897	1128
443	899	1126
444	901	1123
445	902	1121
446	904	1118
447	906	1116
448	907	1114
449	909	1112
450	911	1109
451	913	1107
452	914	1104
453	916	1102
454	918	1099
455	919	1097
456	921	1094
457	923	1092
458	924	1090
459	926	1087
460	928	1085
461	929	1082
462	931	1080
463	933	1078
464	934	1075
465	936	1073
466	938	1070
467	939	1068
468	941	1065
469	943	1063
470	944	1060
471	946	1058
472	947	1055
473	949	1053
474	951	1051
475	952	1048
476	954	1046
477	956	1044
478	957	1041
479	959	1039
480	960	1036
481	962	1034
482	964	1032
483	965	1029
484	967	1027
485	969	1025
486	970	1022
487	972	1020
488	974	1017
489	975	1015
490	977	1013
491	979	1010
492	980	1008
493	982	1006
494	983	1003
495	985	1001
496	987	999
497	988	996
498	990	994
499	992	992
500	993	989
501	995	987
502	996	984
503	998	982
504	1000	980
505	1001	977
506	1003	975
507	1004	973
508	1006	970
509	1008	968
510	1010	967
511	1012	964
512	1014	962
513	1016	960
514	1017	958
515	1019	956
516	1022	955
517	1024	953
518	1026	951
519	1028	949
520	1030	947
521	1032	945
522	1034	943
523	1037	942
524	1040	941
525	1042	939
526	1045	938
527	1047	936
528	1049	934
529	1052	932
530	1054	931
531	1056	929
532	1058	927
533	1060	925
534	1062	923
535	1064	921
536	1066	919
537	1067	917
538	1070	915
539	1071	913
540	1073	911
541	1076	909
542	1079	908
543	1081	906
544	1083	904
545	1085	902
546	1087	900
547	1089	898
548	1091	896
549	1092	894
550	1094	891
551	1096	889
552	1099	888
553	1101	886
554	1105	886
555	1107	884
556	1109	882
557	1112	880
558	1114	879
559	1116	877
560	1118	875
561	1120	872
562	1121	870
563	1123	868
564	1125	866
565	1127	864
566	1129	862
567	1130	860
568	1133	858
569	1135	856
570	1137	854
571	1139	852
572	1142	851
573	1144	849
574	1147	847
575	1149	845
576	1152	844
577	1154	842
578	1157	841
579	1159	839
580	1161	837
581	1163	835
582	1165	833
583	1167	831
584	1168	829
585	1170	826
586	1172	824
587	1174	822
588	1176	820
589	1177	818
590	1179	816
591	1181	813
592	1182	811
593	1184	809
594	1186	807
595	1187	805
596	1189	802
597	1191	800
598	1192	798
599	1194	796
600	1196	794
601	1198	792
602	1200	790
603	1202	788
604	1203	786
605	1205	783
606	1207	781
607	1208	779
608	1210	777
609	1212	775
610	1213	772
611	1215	770
612	1217	768
613	1218	766
614	1220	764
615	1222	761
616	1224	759
617	1225	757
618	1227	755
619	1229	753
620	1230	751
621	1232	749
622	1234	746
623	1235	744
624	1237	742
625	1239	740
626	1240	737
627	1242	735
628	1243	733
629	1245	731
630	1247	729
631	1248	727
632	1250	725
633	1252	722
634	1253	720
635	1255	718
636	1257	716
637	1259	714
638	1260	712
639	1262	710
640	1264	707
641	1265	705
642	1267	703
643	1268	701
644	1270	699
645	1272	697
646	1273	695
647	1275	693
648	1277	690
649	1278	688
650	1280	686
651	1282	684
652	1283	682
653	1285	680
654	1287	678
655	1289	675
656	1291	674
657	1293	672
658	1295	670
659	1296	667
660	1298	665
661	1299	663
662	1301	661
663	1303	659
664	1304	657
665	1306	655
666	1308	653
667	1310	651
668	1311	649
669	1313	646
670	1315	644
671	1316	642
672	1318	640
673	1320	638
674	1321	636
675	1324	634
676	1326	632
677	1328	630
678	1329	628
679	1331	626
680	1333	624
681	1335	622
682	1336	620
683	1338	618
684	1339	616
685	1341	614
686	1343	611
687	1344	609
688	1346	607
689	1348	605
690	1350	603
691	1351	601
692	1353	599
693	1355	597
694	1356	595
695	1358	593
696	1359	591
697	1361	589
698	1363	586
699	1364	584
700	1366	582
701	1368	580
702	1370	578
703	1372	576
704	1373	574
705	1374	572
706	1376	570
707	1378	568
708	1380	566
709	1381	564
710	1383	562
711	1385	560
712	1386	558
713	1388	556
714	1390	554
715	1391	552
716	1393	549
717	1395	547
718	1396	545
719	1398	543
720	1400	541
721	1402	539
722	1403	537
723	1405	535
724	1406	533
725	1408	531
726	1410	529
727	1411	527
728	1415	526
729	1417	524
730	1418	522
731	1420	520
732	1422	518
733	1424	516
734	1425	514
735	1427	511
736	1428	509
737	1430	507
738	1432	505
739	1433	503
740	1435	501
741	1436	499
742	1438	497
743	1440	495
744	1442	493
745	1443	491
746	1445	489
747	1446	487
748	1448	485
749	1450	483
750	1451	481
751	1453	479
752	1454	477
753	1456	475
754	1458	473
755	1459	471
756	1461	469
757	1463	467
758	1464	465
759	1466	463
760	1468	461
761	1470	459
762	1471	457
763	1473	455
764	1475	453
765	1476	451
766	1478	449
767	1480	447
768	1482	445
769	1483	443
770	1485	441
771	1487	439
772	1489	437
773	1491	435
774	1493	433
775	1494	431
776	1496	429
777	1498	427
778	1499	425
779	1501	423
780	1502	421
781	1504	419
782	1506	417
783	1507	415
784	1509	413
785	1511	411
786	1512	409
787	1514	407
788	1515	405
789	1517	403
790	1519	401
791	1520	399
792	1522	397
793	1523	395
794	1525	393
795	1527	391
796	1528	389
797	1530	387
798	1531	385
799	1533	383
800	1535	381
801	1537	379
802	1538	377
803	1540	375
804	1542	373
805	1543	371
806	1545	369
807	1547	367
808	1548	365
809	1550	363
810	1551	361
811	1553	359
812	1555	357
813	1557	355
814	1558	353
815	1560	351
816	1562	349
817	1563	347
818	1564	345
819	1566	343
820	1568	341
821	1569	339
822	1571	337
823	1573	336
824	1574	334
825	1576	332
826	1577	330
827	1579	328
828	1581	326
829	1583	324
830	1584	322
831	1586	320
832	1587	318
833	1589	316
834	1591	314
835	1592	312
836	1594	310
837	1596	308
838	1597	306
839	1599	304
840	1601	302
841	1603	300
842	1604	298
843	1606	297
844	1608	295
845	1610	293
846	1612	291
847	1613	289
848	1615	287
849	1616	285
850	1618	283
851	1620	281
852	1621	279
853	1623	277
854	1624	275
855	1626	273
856	1628	271
857	1629	269
858	1631	267
859	1632	265
860	1634	263
861	1636	261
862	1637	260
863	1639	258
864	1640	256
865	1642	254
866	1644	252
867	1645	250
868	1647	248
869	1648	246
870	1650	244
871	1652	242
872	1653	240
873	1655	238
874	1656	236
875	1658	234
876	1659	232
877	1661	230
878	1663	228
879	1664	226
880	1666	225
881	1667	223
882	1669	221
883	1671	219
884	1672	217
885	1674	215
886	1676	213
887	1677	211
888	1679	209
889	1681	207
890	1683	205
891	1684	203
892	1686	202
893	1687	200
894	1689	198
895	1691	196
896	1692	194
897	1694	192
898	1695	190
899	1697	188
900	1699	186
901	1701	184
902	1702	182
903	1704	181
904	1706	179
905	1708	177
906	1710	175
907	1712	173
908	1713	171
909	1715	169
910	1717	167
911	1718	165
912	1720	163
913	1722	162
914	1723	160
915	1725	158
916	1727	156
917	1729	154
918	1731	152
919	1732	150
920	1734	148
921	1736	146
922	1737	144
923	1739	143
924	1741	141
925	1742	139
926	1744	137
927	1746	135
928	1747	133
929	1749	131
930	1751	129
931	1752	127
932	1754	125
933	1756	124
934	1757	122
935	1759	120
936	1760	118
937	1762	116
938	1763	114
939	1765	112
940	1767	110
941	1769	108
942	1770	107
943	1772	105
944	1773	103
945	1775	101
946	1777	99
947	1778	97
948	1780	95
949	1782	93
950	1783	91
951	1785	90
952	1786	88
953	1788	86
954	1789	84
955	1791	82
956	1793	80
957	1794	78
958	1796	76
959	1797	74
960	1799	73
961	1800	71
962	1802	69
963	1804	67
964	1805	65
965	1807	63
966	1808	61
967	1810	59
968	1812	57
969	1814	56
970	1815	54
971	1817	52
972	1818	50
973	1820	48
974	1822	46
975	1823	44
976	1825	42
977	1827	41
978	1828	39
979	1830	37
980	1832	35
981	1833	33
982	1836	31
983	1838	29
984	1839	28
985	1841	26
986	1843	24
987	1844	22
988	1846	20
989	1847	18
990	1849	16
991	1851	14
992	1852	13
993	1854	11
994	1855	9
995	1857	7
996	1859	5
997	1860	3
998	1862	1
999	1864	0
