iter	Passed	Remaining
0	53	53033
1	54	27414
2	56	18860
3	58	14603
4	60	11998
5	64	10677
6	66	9383
7	67	8405
8	69	7662
9	71	7048
10	72	6552
11	77	6404
12	80	6082
13	81	5759
14	83	5478
15	85	5236
16	87	5034
17	89	4887
18	91	4725
19	93	4586
20	95	4444
21	97	4314
22	98	4199
23	100	4091
24	104	4059
25	105	3968
26	107	3890
27	109	3809
28	111	3738
29	113	3675
30	115	3613
31	119	3628
32	121	3566
33	123	3506
34	125	3452
35	126	3398
36	128	3346
37	130	3297
38	133	3292
39	135	3254
40	137	3214
41	139	3177
42	141	3139
43	142	3103
44	144	3073
45	148	3085
46	150	3052
47	152	3021
48	154	2990
49	155	2960
50	157	2932
51	159	2903
52	163	2922
53	165	2903
54	167	2881
55	169	2855
56	171	2830
57	172	2804
58	174	2780
59	178	2789
60	179	2768
61	181	2746
62	183	2724
63	184	2703
64	186	2683
65	188	2664
66	189	2645
67	194	2659
68	195	2640
69	197	2621
70	198	2603
71	200	2586
72	202	2572
73	204	2556
74	207	2565
75	209	2552
76	211	2538
77	213	2523
78	215	2509
79	217	2500
80	219	2486
81	222	2492
82	224	2475
83	225	2464
84	227	2451
85	229	2440
86	231	2428
87	233	2418
88	235	2407
89	239	2419
90	240	2406
91	242	2394
92	244	2382
93	245	2371
94	247	2358
95	249	2347
96	253	2356
97	254	2345
98	256	2334
99	258	2323
100	259	2313
101	261	2302
102	263	2292
103	264	2282
104	269	2293
105	270	2282
106	272	2273
107	274	2263
108	275	2253
109	277	2243
110	279	2234
111	280	2225
112	284	2235
113	286	2225
114	288	2217
115	289	2209
116	291	2197
117	292	2189
118	294	2181
119	298	2189
120	300	2183
121	301	2173
122	303	2165
123	305	2156
124	306	2148
125	308	2140
126	310	2131
127	313	2137
128	315	2131
129	317	2124
130	319	2117
131	320	2110
132	322	2103
133	324	2097
134	328	2104
135	330	2098
136	332	2091
137	333	2084
138	335	2077
139	337	2070
140	338	2064
141	339	2053
142	343	2060
143	345	2055
144	347	2048
145	349	2041
146	350	2035
147	352	2028
148	354	2022
149	355	2016
150	360	2024
151	361	2018
152	363	2012
153	365	2005
154	366	1999
155	368	1994
156	370	1988
157	373	1992
158	375	1988
159	377	1982
160	378	1973
161	380	1967
162	381	1961
163	383	1955
164	385	1950
165	389	1956
166	391	1950
167	392	1945
168	394	1941
169	396	1936
170	398	1933
171	401	1930
172	407	1946
173	409	1945
174	412	1943
175	415	1943
176	417	1941
177	419	1937
178	422	1938
179	425	1937
180	427	1933
181	429	1929
182	434	1938
183	436	1935
184	438	1929
185	440	1925
186	441	1921
187	443	1916
188	447	1920
189	449	1916
190	451	1911
191	454	1914
192	456	1910
193	458	1905
194	460	1900
195	464	1905
196	466	1900
197	468	1896
198	469	1891
199	471	1887
200	473	1883
201	478	1892
202	481	1889
203	483	1885
204	485	1882
205	487	1878
206	489	1875
207	493	1880
208	495	1877
209	497	1873
210	501	1875
211	503	1871
212	505	1869
213	509	1870
214	510	1865
215	512	1861
216	514	1857
217	516	1853
218	518	1849
219	523	1857
220	526	1855
221	528	1852
222	530	1847
223	533	1848
224	538	1855
225	540	1851
226	542	1846
227	544	1842
228	546	1841
229	549	1838
230	554	1846
231	556	1843
232	558	1839
233	560	1836
234	562	1832
235	564	1829
236	571	1841
237	574	1837
238	575	1833
239	577	1829
240	579	1824
241	582	1825
242	587	1830
243	589	1826
244	591	1822
245	593	1817
246	594	1813
247	599	1817
248	602	1818
249	604	1814
250	606	1809
251	608	1805
252	610	1803
253	616	1811
254	620	1811
255	622	1808
256	624	1805
257	626	1801
258	632	1810
259	634	1806
260	636	1801
261	638	1798
262	640	1793
263	641	1789
264	646	1793
265	648	1788
266	649	1784
267	651	1779
268	653	1775
269	654	1770
270	656	1766
271	659	1766
